Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6794133887571447,0.9132183790206909,478.2399198267791,1356.0510299625469,0.9517620205879211,424.5536341292135,1444.837897940075,0.9517229795455933,518.6291549625469,1455.8751755617977,0.9712819457054138,319.2363061797753,1359.9935627340824,0.6598296761512756,378.16676907771534,1368.9761821161048,0.49608588218688965,342.03073794475654,1099.3376199672284,0.38727179169654846,638.6670470505619,1180.0487183988764,0.7973071336746216,818.1655255149813,965.3268375468165,0.9283974170684814,202.2823033707865,989.2660785346442,0.7861051559448242,706.715165613296,335.6466891970974,0.7582535147666931,708.1402153558054,345.6858979985955,0.5449970364570618,649.3251111891386,680.320546582397,0.8455687761306763,190.49815660112358,595.5987388810862,0.7424728870391846,203.8723080524345,992.5243591994382,0.5440009236335754,179.05459971910113,1003.5297430945693,0.14737620949745178,822.8199613764045,403.60812412219104,0.12437587976455688,807.8966233614233,381.0912994499064
1,0.72743738749448,0.9346879720687866,477.6978727762173,1360.198823735955,0.9337440729141235,419.3443498361423,1445.4544124531835,0.9593820571899414,521.4630881320224,1466.5111481741574,0.9892423748970032,318.8780869616105,1359.3801205524344,0.8499376773834229,370.6784000468165,1365.2706577715355,0.5946526527404785,353.0007168773409,1121.6733233848315,0.4832775294780731,623.1495055009364,1175.950301381086,0.7833907604217529,813.1045177902622,172.2456182701311,0.922853946685791,201.17801966292132,990.0147033005618,0.8840214610099792,713.5656601123596,339.9316040496255,0.8128694295883179,396.83191420880155,220.83218120903558,0.7263320684432983,872.1267848782772,562.8232165847378,0.8883430361747742,190.86475158005624,591.1231931764981,0.668880820274353,207.82259480337086,991.4185393258427,0.5786910057067871,196.2211786048689,997.5439636001873,0.20425176620483398,825.1139688670412,410.5607736423221,0.15187695622444153,828.0928136704119,407.8119879447566
2,0.7395101820721346,0.9681320786476135,493.6219861891386,1408.8449496722847,0.93359375,417.2765976123595,1443.151480571161,0.9484348297119141,525.4081811797753,1465.0547167602997,0.9749770164489746,320.22040320692884,1358.4206753277153,0.7624876499176025,375.1689782303371,1361.9652680243446,0.6224939227104187,344.4495406132959,1113.506481156367,0.3298170864582062,619.9307262406367,1180.933037804307,0.8919137120246887,812.6528850655432,189.64064694522472,0.916187047958374,203.06655255149815,991.2721646769663,0.866126298904419,711.4066157537454,340.59058257256555,0.8696322441101074,706.4330963249065,345.66212400514985,0.8166799545288086,863.0266853932585,553.3671655547753,0.8924297094345093,189.82140244616107,592.23398730103,0.8152453303337097,201.91142907303367,992.2351211376405,0.6824809312820435,176.53894545880155,999.7041783707865,0.14068925380706787,827.4869791666667,397.412109375,0.1403522789478302,820.3695575842696,389.077422752809
3,0.7310706131598529,0.9436427354812622,490.6986628043071,1405.2899695692884,0.9375384449958801,414.20287628745325,1445.9606156367042,0.9631807804107666,521.6616924157304,1466.7218223314608,0.9843525886535645,322.40117333801504,1360.163126170412,0.6897886991500854,380.47913740636704,1368.5096266385767,0.5419765710830688,339.97227586610495,1121.2275427200375,0.6345149874687195,625.9085323033707,1176.9602937734082,0.8401778936386108,198.61854810393265,984.417427434457,0.909153938293457,204.9641561329588,988.5778031367041,0.8827933669090271,709.6251755617977,336.4306457748127,0.896759033203125,398.0266122425094,222.8347195400281,0.7011430263519287,862.008280664794,560.4776743913858,0.8990458250045776,196.0726094335206,597.9320648993446,0.7516841888427734,208.35996020599248,991.6177288155432,0.6481971144676208,180.70458801498125,997.7352528089888,0.12174475193023682,818.4802200374531,396.1319712663858,0.08250647783279419,822.1218106273409,382.62472202715355
4,0.7320812204304863,0.940416693687439,491.1965268024345,1410.4017439138577,0.9637972116470337,416.30464360955057,1440.6324613764045,0.9728478789329529,523.2163652855805,1460.003364934457,0.981293797492981,316.4527007256554,1364.178370786517,0.8157901763916016,375.5401451310862,1361.5074906367042,0.5864744782447815,341.90908824906364,1126.0785346441949,0.4086163640022278,473.16750058520597,1057.911399812734,0.8312423825263977,197.32890039794006,984.8905664794008,0.9361313581466675,201.99738120318352,988.9121020599251,0.8687492609024048,711.919621956929,346.57193644662925,0.9295704364776611,706.5401158707866,346.3094715589888,0.7875422239303589,868.9736949906367,564.0071980337079,0.9075548648834229,190.7416388693821,598.0505691128277,0.6749199628829956,212.21544358614233,989.2728084035581,0.5805046558380127,178.95035990168537,997.0796757958802,0.1547500491142273,814.6556062734082,393.5442269428839,0.10517895221710205,814.8228288857679,383.7189475070225
5,0.7430911695255953,0.9396806955337524,496.82781776685397,1413.3058286516855,0.9355082511901855,426.0911897237828,1437.6530313670412,0.9640288352966309,525.9441567181648,1466.5632315074906,0.97490394115448,323.13926439606746,1362.9867450842696,0.890846848487854,366.98618913857683,1365.8045119382023,0.7236177325248718,341.7424508426966,1113.753291783708,0.458963006734848,496.23997834737827,1051.1985750234082,0.7870153188705444,800.3459298923221,197.33917807818352,0.9066793918609619,200.8116807116105,987.6928253745318,0.8618154525756836,734.6214448735955,366.4960791198502,0.8685598373413086,724.1270921114233,351.15658649344573,0.7983567118644714,879.6538506554307,567.7607458450375,0.9222612380981445,192.525785639045,592.4853698501873,0.7307180762290955,204.80680887172286,994.3308900983146,0.6219689846038818,176.05717462546818,998.2594510767791,0.1437532603740692,821.873683286517,402.5616660814607,0.10387229919433594,746.6568644662921,354.832813963015
6,0.7226502562270445,0.8893312811851501,487.4234111657304,1400.9060451779026,0.9621548652648926,417.62757490636704,1440.6873244382023,0.9758409857749939,520.0227498829588,1461.9561973314608,0.9884737730026245,322.0545850889513,1366.4928604868915,0.7550034523010254,393.10729751872657,1363.1014454588014,0.5553513765335083,367.39934456928836,1123.7048659878278,0.3361062705516815,623.9371196161048,1171.9831168071162,0.8631501793861389,196.07421875,985.7693995786517,0.9247920513153076,201.44516619850185,990.9377194522473,0.8468683958053589,710.8236774344571,344.52049683988764,0.8818982243537903,394.49555243445695,219.98904567532773,0.8000397682189941,883.0827188670412,566.2444771184457,0.9167102575302124,196.43046289794006,596.8632227294007,0.6743495464324951,207.22612359550567,992.6501053370787,0.6087372899055481,193.0599689840824,995.2501755617977,0.19290092587471008,312.4525251638577,229.9797738178839,0.11334571242332458,741.0030430711611,363.2441991455993
7,0.7301270365715027,0.9412214756011963,493.7663126170412,1407.1785756086142,0.9697649478912354,420.13306121254686,1441.8112125468165,0.9826383590698242,528.3481829353933,1468.4509597378278,0.9850374460220337,318.4951427902622,1362.2261235955057,0.7592014074325562,376.4197097378277,1362.957338483146,0.6515867710113525,356.9156718164794,1111.2682145365168,0.35099196434020996,619.6793071161048,1175.3932584269664,0.8303686380386353,815.3541959269664,190.57154509012173,0.9365605711936951,200.51081168071164,989.3009714419476,0.8875778913497925,707.3899812734082,345.36718018492513,0.9262305498123169,703.9413623595506,348.65292895599254,0.7858956456184387,879.0856156367042,557.34140917603,0.9056075811386108,195.37519019194758,602.0181925912922,0.7853255271911621,204.19000175561803,992.9321014747192,0.5454727411270142,193.6421026451311,998.2222904962547,0.08049684762954712,298.8469247425094,247.14595037453185,0.0881812572479248,289.9246547284645,341.6154611423221
8,0.7135518158183378,0.9421170949935913,498.01176264044943,1413.4189197097378,0.964342474937439,421.12747249531833,1437.2812792602997,0.9664691686630249,525.3477586610487,1465.8568878745318,0.9868190288543701,321.9406162219101,1371.209913389513,0.7279133200645447,398.75563260767797,1363.4262347846443,0.5270987749099731,342.70701661985026,1108.3557174625469,0.30195528268814087,561.1568059456929,1060.1444727294008,0.8113875389099121,816.7143609550562,204.79704324672286,0.922481894493103,208.82095622659176,989.0427492977528,0.9081958532333374,708.2660346441949,343.094532713015,0.9032687544822693,701.1091848080525,346.9669870669476,0.8489348888397217,874.7037394662923,560.7630720388577,0.9025647044181824,192.0403572682585,602.1594101123595,0.5939137935638428,208.27949438202245,990.3852118445693,0.6022847890853882,197.4311651451311,996.7680536048689,0.14660528302192688,313.5710732677903,229.10298893960675,0.07402822375297546,309.01524461610484,235.0180316596442
9,0.7152113704120412,0.9086178541183472,467.00703710205994,1369.8222436797753,0.9671325087547302,421.2208860018727,1439.2134831460676,0.9705672264099121,528.9025924625469,1465.512347846442,0.984188437461853,324.69335205992513,1366.1189138576779,0.6272006034851074,379.1867831226592,1369.8630617977528,0.5794450640678406,344.39621371722853,1116.6954149110488,0.5425655245780945,625.8819785814608,1175.6918597846443,0.8212149143218994,206.07421875,985.2399344569288,0.9369231462478638,209.23169768258424,992.4640098314607,0.8980081081390381,705.60546875,341.78809691011236,0.957084596157074,700.3771652621724,344.1610706343633,0.8228535652160645,879.1799801029963,558.2196570692884,0.8991405963897705,201.0207455524345,605.5929965472847,0.5535762906074524,203.83982911985026,991.2623624765918,0.541347861289978,198.93485194288394,998.3605454119851,0.08190092444419861,304.31808871722853,244.15723022003746,0.06682607531547546,724.1096090823971,360.20482209737827
