Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.720828280729406,0.9302586913108826,490.02574906367045,1397.0199847846443,0.9029603004455566,447.1414881788389,1476.5828359082398,0.9735454320907593,552.6073852996255,1506.5920529026218,0.957619845867157,362.6853639981274,1413.1839595037454,0.7939040064811707,407.87058169475654,1409.4719978932585,0.6473075747489929,393.8624327013109,1181.9758748829588,0.6698784232139587,844.6687734082398,571.4569068937266,0.9178043603897095,837.767731741573,1051.3388781601125,0.7958195209503174,249.50059983614233,1031.6429658239701,0.9024777412414551,721.8030196629213,463.89414355102997,0.9154803156852722,450.27548572097385,381.407420411985,0.4955889582633972,903.2550620318352,715.9835118211611,0.7554538249969482,420.5026919475656,807.8397852294008,0.5923993587493896,803.857897354869,534.925934866573,0.706652820110321,230.50466701779033,1036.1977703651685,0.10184931755065918,363.84721734550567,333.6298864700375,0.19508028030395508,827.4822975187267,539.5489524812734
1,0.7211339543847477,0.8724632859230042,505.0064372659176,1409.4705348782772,0.9086252450942993,444.1898554541199,1475.78125,0.9751425385475159,548.8265156835206,1506.7453768726593,0.9701021909713745,371.9018463249064,1409.4399578651685,0.7695551514625549,407.9389044943821,1407.571395131086,0.531356155872345,387.0213014981274,1179.6880852059926,0.49694350361824036,834.5703125,576.1041008309925,0.9389539361000061,833.6050152153559,1054.488676264045,0.8072196245193481,245.3188641151686,1027.100231156367,0.8897527456283569,721.5221207865168,461.9763137874532,0.892738938331604,435.02128686797755,380.7176819990637,0.6828925609588623,907.9217872191011,673.9091760299626,0.8274779319763184,447.91191186797755,802.7796553136704,0.6701759696006775,241.5192679073034,998.8342696629214,0.6682037115097046,222.14924215823976,1030.8826369382023,0.12668421864509583,368.5950667134832,370.0157639864232,0.2309895157814026,823.7242509363296,525.1999941479401
2,0.6837102981174693,0.9300781488418579,519.6963512406368,1434.6718457397005,0.9287514686584473,439.2145072565544,1475.1417661516855,0.972185492515564,549.1404786985019,1504.752896769663,0.9685025215148926,367.9127165262173,1412.4811271067417,0.7421315312385559,407.64227820692884,1408.5974075374531,0.3778225779533386,359.8513576779027,1185.0223841292136,0.3961808681488037,453.0173952481274,-49.44241298718399,0.9642645716667175,834.3480805243446,1056.0011411516855,0.8417935967445374,245.66457455524346,1026.9327159410113,0.8644716143608093,714.7915203651685,459.66409176029964,0.9004545211791992,439.0193410580524,380.16502808988764,0.5017813444137573,906.0264513108614,675.8931706460675,0.8494593501091003,450.6166608146068,801.0342052902622,0.5714437365531921,255.53999882958806,1032.1689197097378,0.589785635471344,220.82631086142328,1031.3748683286517,0.07419216632843018,365.7838102762173,379.87249824438203,0.1497759222984314,825.7634012172284,535.2783386001873
3,0.7188210767858169,0.9785956144332886,514.686329588015,1417.7206226591761,0.9120043516159058,449.9522325608615,1478.1178312265918,0.9678047299385071,549.4438348548689,1507.6850713951312,0.9642334580421448,367.1756495786517,1410.1903382490636,0.8249211311340332,409.00595447097385,1408.999444054307,0.5983666181564331,392.7356917134832,1182.6641502808989,0.41445207595825195,454.0433345037453,-49.354778389805716,0.906117856502533,844.7011060393259,1050.9906074438202,0.8772194385528564,249.0336786048689,1031.051249414794,0.9107844829559326,718.473124414794,457.80705026919475,0.9569041728973389,432.37688728932585,378.6490519662921,0.6856889724731445,908.5933110955057,666.1581958099251,0.7591714859008789,442.9991807116105,800.0806121254682,0.5326488614082336,262.101328417603,1033.6908210440076,0.6572288274765015,221.1859199438203,1036.0257198033707,0.08419796824455261,366.1440777153558,336.86256437265916,0.18961825966835022,828.6970388576779,527.148364349251
4,0.720758038408616,0.934491753578186,504.7761587078652,1408.383368445693,0.9301121234893799,454.76101650280907,1476.8827539794008,0.9588371515274048,552.7223051264045,1508.2509655898878,0.9717121124267578,366.121254681648,1410.7291666666667,0.8766078948974609,406.2878189372659,1407.105863764045,0.4384613037109375,382.8736540262173,1191.66015625,0.5019896030426025,389.6515829822098,510.9149695692884,0.9587754011154175,840.6982970505619,1051.702510533708,0.886125922203064,246.90265098314615,1032.4968545177903,0.9106314182281494,722.2275134597378,459.86990139279027,0.9857434034347534,433.9178078183521,373.9176980922285,0.6433769464492798,907.3635007022472,701.8308169475656,0.740164577960968,433.0478259597379,801.437119616105,0.5416408777236938,252.39100538389516,1001.5599397237828,0.6373025178909302,220.05047401685397,1033.2565981975656,0.1462988555431366,381.2089624297753,377.53844071863296,0.19061478972434998,366.0182584269663,383.2506364115169
5,0.6970515514121336,0.9014992117881775,501.91003920880155,1408.8251989700375,0.9199346303939819,447.3591848080524,1477.5501814138577,0.9674509763717651,549.8782040028091,1507.4130969101125,0.9737484455108643,367.5762230805244,1413.9398993445693,0.7810699343681335,408.4307701310862,1412.7283766385767,0.32681864500045776,381.7987769194757,1179.7389249765918,0.31650876998901367,432.95711903089887,448.6440777153558,0.9516313076019287,831.3035463483147,1056.1559281367042,0.9048835039138794,244.7332923689139,1032.2175649578653,0.9474276900291443,717.1665788857679,460.87203007958806,0.9795805215835571,429.2046319054307,376.4632344335206,0.6884190440177917,900.1645891853932,700.3062090355805,0.7014628648757935,429.4239378511236,798.0035697565544,0.49971696734428406,246.1126228932585,1005.2944317649813,0.609021008014679,219.7588951310862,1035.9297460205994,0.1559266746044159,740.3114758895131,1069.1297255383895,0.22477617859840393,822.0640215355807,545.8039998829588
6,0.7008405275204602,0.92029869556427,504.74587429775283,1382.5577890917602,0.9291517734527588,446.7564957865169,1474.179541198502,0.9744044542312622,545.5852791432585,1505.6106624531835,0.9678926467895508,375.00943644662925,1412.2969335205994,0.6927763819694519,409.92875117041206,1413.482121956929,0.3631440997123718,384.71485838014985,1181.758690308989,0.45213139057159424,839.777182818352,570.5888635299626,0.9227910041809082,822.7718281835207,1052.9697009597378,0.8739287257194519,243.57882724719104,1029.0355805243446,0.9502513408660889,715.0708830758426,459.2643594920412,0.977715253829956,428.70823092228466,377.04427083333337,0.6352875828742981,909.3960674157304,674.8893229166667,0.6272037625312805,438.57948560393265,786.7387933052435,0.7060555815696716,241.67851708801504,1004.2518141385768,0.5414310097694397,218.61284234550567,1034.446029377341,0.16168925166130066,629.2820253979401,1117.8740929307116,0.2181360125541687,825.4450491573034,530.9301117743446
7,0.6920539228355184,0.8619692325592041,502.37908181179773,1412.4480629681648,0.9352040886878967,420.7713014981274,1477.5668597846443,0.9427250623703003,545.6201720505618,1511.1192064606741,0.9600458145141602,401.29147647471916,1424.442591292135,0.7579874992370605,410.1498127340824,1411.4189782303372,0.30669838190078735,378.0993972378277,1179.7962751638577,0.5156213641166687,850.9734901685395,601.535470798221,0.9636480212211609,829.5662160580525,1057.606873244382,0.929560661315918,246.81143199906364,1027.4214360955057,0.9274049997329712,717.0367363061798,458.64583333333337,0.9819912910461426,431.2025983146068,372.12502926029964,0.5978881120681763,680.4727732911986,727.0827481273409,0.7635968923568726,437.7648057116105,797.7958216292135,0.4684765636920929,257.6396447799626,998.4022413389514,0.5461451411247253,216.07173162453182,1035.6299011001872,0.11122095584869385,843.6252048220974,584.4816537921348,0.19473260641098022,830.8440133426966,530.795075491573
8,0.701703849960776,0.8883898854255676,485.79705056179773,1398.2424801029963,0.9481518268585205,419.4870669475656,1476.6011235955057,0.9271273016929626,543.9588453885768,1510.1740987827716,0.9387364983558655,404.13177375936334,1422.700871956929,0.7094640135765076,408.72008134363296,1412.126345973783,0.4179730713367462,366.89884714419475,1176.1352996254682,0.467049241065979,852.4259714419477,593.9484214068352,0.9630134701728821,838.6572448501872,1048.0890829822097,0.8937193751335144,249.20360779494388,1023.5449584503746,0.8863525390625,720.2168188202247,457.41953417602997,0.9845397472381592,435.6316567181648,373.196248829588,0.5987144112586975,905.5730629681648,692.0550971441947,0.7990937232971191,435.6752545646068,787.6155781835206,0.5391960144042969,256.57325316011236,997.2475567649813,0.5584250688552856,219.27500292602997,1029.4248156601125,0.18862855434417725,373.2518433988764,378.79696278089887,0.2203907072544098,368.9036165730338,374.2668831928839
9,0.6906978049698997,0.8469499349594116,495.69778499531833,1405.366631554307,0.9493098258972168,445.2923835440075,1470.9552024812735,0.9492429494857788,541.261338366105,1507.7408122659176,0.958511233329773,379.22752808988764,1406.6717872191011,0.6485233306884766,409.40755208333337,1409.7054950842696,0.42408883571624756,858.5710732677903,845.7909790496255,0.33413562178611755,457.6078242041199,-56.27504041578886,0.970977783203125,835.1552258895131,1052.376082631086,0.8907990455627441,249.58955114700382,1035.2271330758426,0.8986594080924988,728.6335440074906,455.78106712312734,0.9962974190711975,440.111481741573,371.9038213951311,0.6767165064811707,910.8463541666667,684.0469188904494,0.7765887975692749,450.2244996488764,790.3449057818352,0.5003687739372253,254.8318995786517,997.2647471910112,0.55409836769104,217.0728727762172,1029.5056472378278,0.1747092306613922,634.3975304307116,1146.6861979166667,0.19188562035560608,826.0946278089889,486.6051103113296
